z_mean z_min z_max L_mean L_min L_max phi_mean phi_min phi_max Ngalaxy
1.699999999999999845e-01 1.000000000000000056e-01 2.399999999999999911e-01 1.298931568816520239e+42 1.000394948876872201e+42 1.778981739494682616e+42 9.624456517965423221e-06 1.299084827528206884e-06 1.794982820840263998e-05 9.000000000000000000e+00
5.974999999999999201e-01 5.000000000000000000e-01 6.949999999999999512e-01 1.345777214634821103e+41 1.000290716434832918e+41 1.778796385089146324e+41 3.602483927351522904e-03 3.364286538976359823e-03 3.840681315726685984e-03 8.710000000000000000e+02
5.974999999999999201e-01 5.000000000000000000e-01 6.949999999999999512e-01 2.361320175784262934e+41 1.778796385089146324e+41 3.163196986255695323e+41 2.050864994960209606e-03 1.953937538944701142e-03 2.147792450975718505e-03 8.950000000000000000e+02
5.974999999999999201e-01 5.000000000000000000e-01 6.949999999999999512e-01 4.168789856075693804e+41 3.163196986255695323e+41 5.625048070555676642e+41 7.888950072935335765e-04 7.377185066518042239e-04 8.400715079352629290e-04 6.270000000000000000e+02
5.974999999999999201e-01 5.000000000000000000e-01 6.949999999999999512e-01 7.383019182156753727e+41 5.625048070555676642e+41 1.000290716434832995e+42 3.946864275451967240e-04 3.405154579425912929e-04 4.488573971478021550e-04 5.200000000000000000e+02
5.974999999999999201e-01 5.000000000000000000e-01 6.949999999999999512e-01 1.298796231458398191e+42 1.000290716434832995e+42 1.778796385089146170e+42 1.395289997225173989e-04 1.178916615204712138e-04 1.611663379245635976e-04 3.230000000000000000e+02
5.974999999999999201e-01 5.000000000000000000e-01 6.949999999999999512e-01 2.316340037991155410e+42 1.778796385089146170e+42 3.163196986255694936e+42 5.101604126243493694e-05 3.614876178717394393e-05 6.588332073769592994e-05 1.320000000000000000e+02
5.974999999999999201e-01 5.000000000000000000e-01 6.949999999999999512e-01 4.059289759692828863e+42 3.163196986255694936e+42 5.625048070555676487e+42 7.902042982609154082e-06 5.621750312592247420e-06 1.018233565262606159e-05 4.200000000000000000e+01
5.974999999999999201e-01 5.000000000000000000e-01 6.949999999999999512e-01 6.924656961934942804e+42 5.625048070555676487e+42 1.000290716434832933e+43 1.945451823027205946e-06 9.931485179304417537e-07 2.897755128123970350e-06 7.000000000000000000e+00
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 1.345728059017044491e+41 1.000254179995080538e+41 1.778731413090618403e+41 7.593254957796750568e-03 7.072622364583796943e-03 8.113887551009705060e-03 5.490000000000000000e+02
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 2.361233926625972481e+41 1.778731413090618403e+41 3.163081447888484433e+41 2.907658938529943463e-03 2.694485313198850037e-03 3.120832563861036888e-03 7.460000000000000000e+02
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 4.168637587603224588e+41 3.163081447888484433e+41 5.624842611056195656e+41 1.467884486369079805e-03 1.294406468951740836e-03 1.641362503786418991e-03 7.450000000000000000e+02
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 7.382749511318958820e+41 5.624842611056195656e+41 1.000254179995080577e+42 4.813195173204281576e-04 4.342310766149256500e-04 5.284079580259307737e-04 5.700000000000000000e+02
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 1.298748791859607976e+42 1.000254179995080577e+42 1.778731413090618249e+42 1.772216892797687086e-04 1.635246270699184669e-04 1.909187514896189231e-04 4.350000000000000000e+02
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 2.316255431769330866e+42 1.778731413090618249e+42 3.163081447888484588e+42 6.530346805447422866e-05 5.619232036021420024e-05 7.441461574873426386e-05 2.600000000000000000e+02
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 4.059141490801290439e+42 3.163081447888484588e+42 5.624842611056196430e+42 2.407234735708390841e-05 1.917891216147083920e-05 2.896578255269697763e-05 1.140000000000000000e+02
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 6.924404033153601595e+42 5.624842611056196430e+42 1.000254179995080670e+43 2.909669876828755943e-06 1.721207522454692900e-06 4.098132231202819832e-06 2.300000000000000000e+01
7.874999999999999778e-01 6.949999999999999512e-01 8.800000000000000044e-01 1.197199933213648352e+43 1.000254179995080670e+43 1.778731413090618311e+43 3.574978721422304125e-07 1.059248876594736254e-07 6.090708566249871466e-07 4.000000000000000000e+00
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 1.345684994810921990e+41 1.000222171186247506e+41 1.778674492484931043e+41 8.719694262985402608e-03 7.999246595293395962e-03 9.440141930677409254e-03 1.760000000000000000e+02
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 2.361158365546719752e+41 1.778674492484931043e+41 3.162980227147383188e+41 4.600339886305686993e-03 4.260050659743736673e-03 4.940629112867637313e-03 3.400000000000000000e+02
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 4.168504188387000808e+41 3.162980227147383188e+41 5.624662612296427075e+41 1.795224345377304008e-03 1.641339484718073094e-03 1.949109206036534923e-03 3.520000000000000000e+02
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 7.382513258351967585e+41 5.624662612296427075e+41 1.000222171186247622e+42 4.766802663455328650e-04 4.315421930229466213e-04 5.218183396681192170e-04 3.240000000000000000e+02
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 1.298707231021740804e+42 1.000222171186247622e+42 1.778674492484930811e+42 1.730453874625875754e-04 1.556873656640552438e-04 1.904034092611199070e-04 2.640000000000000000e+02
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 2.316181310032269571e+42 1.778674492484930811e+42 3.162980227147382878e+42 9.910036309122152785e-05 8.640081698136388032e-05 1.117999092010791618e-04 2.080000000000000000e+02
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 4.059011595534063740e+42 3.162980227147382878e+42 5.624662612296427075e+42 3.072259966022901953e-05 2.596871938225967687e-05 3.547647993819836557e-05 1.370000000000000000e+02
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 6.924182447551248197e+42 5.624662612296427075e+42 1.000222171186247561e+43 1.058320964893335917e-05 6.052755930309325318e-06 1.511366336755739048e-05 5.500000000000000000e+01
9.850000000000000977e-01 8.800000000000000044e-01 1.090000000000000080e+00 1.197161622007793383e+43 1.000222171186247561e+43 1.778674492484930625e+43 7.149782152844740010e-07 2.364107932507447037e-07 1.193545637318203325e-06 8.000000000000000000e+00
1.495000000000000107e+00 1.340000000000000080e+00 1.649999999999999911e+00 6.923762424679347128e+42 5.624321418666450672e+42 1.000161497425545333e+43 1.046772868026823257e-04 7.451322452089710960e-05 1.348413490844675689e-04 1.800000000000000000e+01
1.495000000000000107e+00 1.340000000000000080e+00 1.649999999999999911e+00 1.197089001844125629e+43 1.000161497425545333e+43 1.778566597585544292e+43 1.488494393337741206e-05 6.977327193205911968e-06 2.279256067354891384e-05 6.000000000000000000e+00
8.051139829310047791e-01 7.800000000000000266e-01 8.299999999999999600e-01 8.017361278562703708e+41 6.189658188912571906e+41 1.211527658628595105e+42 3.713632500012233788e-04 2.743480617056404309e-04 4.683784382968063267e-04 1.080000000000000000e+02
8.051139829310047791e-01 7.800000000000000266e-01 8.299999999999999600e-01 1.596821266656801206e+42 1.211527658628595105e+42 2.371373705661655282e+42 3.714071758200022239e-05 2.703636350129394212e-05 4.724507166270650266e-05 1.100000000000000000e+01
8.051139829310047791e-01 7.800000000000000266e-01 8.299999999999999600e-01 3.273167109235032337e+42 2.371373705661655282e+42 4.641588833612753496e+42 1.980806204510184512e-05 1.092758364970258553e-05 2.868854044050110470e-05 5.000000000000000000e+00
9.271958457511613183e-01 8.299999999999999600e-01 1.030000000000000027e+00 1.564728132157575075e+42 1.211527658628595105e+42 2.371373705661655282e+42 2.131584696240856804e-04 1.914697441746201394e-04 2.348471950735512214e-04 3.100000000000000000e+02
9.271958457511613183e-01 8.299999999999999600e-01 1.030000000000000027e+00 3.104813406169541243e+42 2.371373705661655282e+42 4.641588833612753496e+42 4.209658173523873431e-05 3.672061922160961019e-05 4.747254424886785843e-05 6.100000000000000000e+01
9.271958457511613183e-01 8.299999999999999600e-01 1.030000000000000027e+00 5.731538342077292621e+42 4.641588833612753496e+42 9.085175756516916864e+42 7.160820778546121843e-06 5.761497798054918732e-06 8.560143759037324107e-06 1.100000000000000000e+01
9.271958457511613183e-01 8.299999999999999600e-01 1.030000000000000027e+00 1.315316904636108294e+43 9.085175756516916864e+42 1.778279410038922722e+43 2.665160326682275075e-06 1.722970885258002857e-06 3.607349768106547293e-06 4.000000000000000000e+00
9.271958457511613183e-01 8.299999999999999600e-01 1.030000000000000027e+00 3.336031903777357069e+43 1.778279410038922722e+43 3.480700588428391906e+43 6.249572818919977865e-07 3.239098181755569171e-07 9.260047456084386559e-07 1.000000000000000000e+00
1.229734575811130437e+00 1.159999999999999920e+00 1.300000000000000044e+00 3.122117038848401666e+42 2.371373705661655282e+42 4.641588833612753496e+42 1.436153825872484350e-04 1.146441790848725235e-04 1.725865860896243329e-04 1.560000000000000000e+02
1.229734575811130437e+00 1.159999999999999920e+00 1.300000000000000044e+00 5.815784121207506520e+42 4.641588833612753496e+42 9.085175756516916864e+42 3.751276669996114418e-05 2.798511893826572761e-05 4.704041446165656076e-05 3.600000000000000000e+01
